id,uploader,modifier,source_name,regulator_symbol,regulator_locus_tag,condition,data_usable,preferred_replicate,batch,lab,assay,source_orig_id,upload_date,modified_date,file,single_binding,composite_binding,promoter,background,fileformat
221,chasem,chasem,harbison_chip,CHA4,YLR098C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:42.131146-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/221.csv.gz,221,NA,NA,NA,1
222,chasem,chasem,harbison_chip,HOG1,YLR113W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:42.771589-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/222.csv.gz,222,NA,NA,NA,1
223,chasem,chasem,harbison_chip,ACE2,YLR131C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:43.499684-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/223.csv.gz,223,NA,NA,NA,1
224,chasem,chasem,harbison_chip,RFX1,YLR176C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:44.315487-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/224.csv.gz,224,NA,NA,NA,1
225,chasem,chasem,harbison_chip,SWI6,YLR182W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:44.916375-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/225.csv.gz,225,NA,NA,NA,1
226,chasem,chasem,harbison_chip,IFH1,YLR223C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:45.540161-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/226.csv.gz,226,NA,NA,NA,1
227,chasem,chasem,harbison_chip,ECM22,YLR228C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:46.673697-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/227.csv.gz,227,NA,NA,NA,1
228,chasem,chasem,harbison_chip,HAP1,YLR256W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:47.330062-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/228.csv.gz,228,NA,NA,NA,1
229,chasem,chasem,harbison_chip,unknown_4667,YLR278C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:48.122844-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/229.csv.gz,229,NA,NA,NA,1
233,chasem,chasem,harbison_chip,SFP1,YLR403W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:51.150064-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/233.csv.gz,233,NA,NA,NA,1
