model,interactor,chi2_stat,main_effect_comp,ubalanced_high_ptf,ptf_by_low_mtf_slope,ptf_by_high_mtf_slope,low_mTF_total,high_mTF_total,conflicting_sign
GAL11,CYC8,102.01764369019403,NA,TRUE,-0.003388038056149904,0.21828863312620117,3508,607,FALSE
PGD1,ARG81,64.64331915231502,NA,FALSE,0.09377731448513049,0.08380667304980445,3087,609,FALSE
DAL80,GZF3,62.256406732491264,NA,TRUE,-0.03457060760187988,0.12533023016913247,1707,609,FALSE
RPH1,MSN2,59.082770137392096,NA,TRUE,-0.025125955904166816,0.18891943054557045,1614,607,FALSE
USV1,WTM1,56.36831310645759,NA,TRUE,0.07815853056883607,0.12874227967896892,2505,608,TRUE
GAL11,STP1,50.67240936675533,NA,TRUE,0.1380265176133859,0.1450882567781455,3500,623,FALSE
USV1,AZF1,48.16548219852705,NA,FALSE,0.07497993586058178,0.020015067897422485,3370,611,FALSE
PGD1,SWI6,43.880765093211586,NA,FALSE,0.10348902960979213,0.09451266991194451,3620,607,FALSE
PGD1,GIS1,40.2918520388223,NA,TRUE,-0.015038629858091818,0.11001016371071727,1429,608,FALSE
RDS2,GZF3,39.3922205922149,NA,TRUE,-0.054668061049166466,0.055466178502484136,1706,610,FALSE
RPH1,RGM1,38.79828127995466,NA,TRUE,-0.02398367509542387,0.20777960623780597,1378,609,FALSE
DAL80,MTH1,38.68434919783325,NA,TRUE,0.008167582703018088,0.05805935853579284,2742,614,FALSE
CST6,GIS1,37.87660239708181,NA,TRUE,-0.03604694607590508,0.11371372703292644,1428,608,FALSE
RPH1,ERT1,37.33548090197883,NA,TRUE,0.08622814892630688,0.0914601168087024,1520,615,FALSE
MED2,MET31,34.84196926271129,NA,TRUE,-0.11884788870267149,0.11582265157649994,1163,607,FALSE
RDS2,MSN2,34.77023941694721,NA,TRUE,-0.028681334254777216,0.020369198524807612,1614,607,FALSE
CST6,ARG81,34.37382160044263,NA,TRUE,0.03696254733799401,0.0593074560594429,3087,609,FALSE
SKN7,GIS1,33.13231879439083,NA,TRUE,-0.026402776394270012,0.2389750735397604,1429,608,FALSE
UME1,FKH2,33.08520548896548,NA,TRUE,-0.06624895964818768,-0.002356165760934484,2382,623,FALSE
CUP9,ERT1,30.67064257430373,NA,TRUE,0.1485007295179706,0.18766881883379175,1520,615,FALSE
SKN7,PPR1,27.379295697123435,NA,TRUE,-0.009091673468656618,0.15986749306389697,1855,612,FALSE
RPH1,TOG1,26.458367076492674,NA,TRUE,0.04467102497860329,0.1294308809569788,1002,612,FALSE
MSN2,ASH1,25.08641427822078,NA,TRUE,0.041299029081678,0.2599463179549147,1238,646,FALSE
RDS2,RGM1,25.02854118053755,NA,TRUE,-0.09904846478974896,0.10546083964652805,1378,609,TRUE
INO4,FKH2,22.98650647058918,NA,TRUE,0.01850811554838545,0.0227537102758522,2382,623,FALSE
HAP4,SMP1,21.242705851755556,NA,TRUE,-0.025580524317891165,0.09912176307511379,987,607,FALSE
CIN5,IXR1,20.929848001549207,NA,TRUE,0.04338538220529655,0.24658828889349346,3156,618,FALSE
GAT2,DAT1,20.754085221960015,NA,TRUE,0.013333324505061358,0.047447446004497525,1253,607,FALSE
CST6,ASH1,19.539681808461424,NA,TRUE,0.03292200551903589,0.037397939160407706,1237,646,FALSE
MIG1,CYC8,18.54695895992026,NA,TRUE,-0.016002013994050546,0.2954113425523057,3508,607,FALSE
INO4,SMP1,18.01061525828901,NA,TRUE,-0.05493525080336611,0.09505955943575942,987,607,FALSE
OPI1,PPR1,15.62642527517769,NA,FALSE,0.009207917829620127,-0.0340990522779774,1855,612,FALSE
CIN5,OPI1,15.453883618223577,NA,FALSE,0.10920145999722596,0.09333471462397115,2069,617,FALSE
ZAP1,SWI4,15.131908590923548,NA,FALSE,0.036774309034107645,-0.05451215287431291,3786,614,FALSE
OAF1,MBP1,14.976985604276713,NA,TRUE,0.009086665223003202,0.08853160213434617,1493,610,FALSE
OPI1,FZF1,14.084655843160943,NA,TRUE,-0.04105579659024944,-0.012189261780859346,971,628,FALSE
SKN7,HAA1,13.079159935379646,NA,TRUE,0.0029721282940893884,0.07266340117563662,1152,619,FALSE
RPH1,DAT1,12.425585003438846,NA,FALSE,0.022306102431803577,-0.02729263932086543,1253,607,FALSE
INO4,GAL4,6.931858037409689,NA,TRUE,0.03229635690491079,0.21859651144611328,4745,607,TRUE
MET4,SMP1,6.520481178701314,NA,FALSE,0.13088150995059444,-0.00821978847334564,987,607,FALSE
MSN2,GAL4,6.147904523284284,NA,TRUE,0.18213696215094172,0.45231146984818504,4746,611,FALSE
MIG1,CBF1,5.35995869141703,NA,FALSE,0.27906460749525536,0.029942206850316306,607,609,FALSE
GIS1,ARG80,4.935278574352483,NA,TRUE,0.04161296854416338,0.07830814174905673,2120,607,FALSE
MET31,SMP1,3.2528483427682695,NA,FALSE,0.005357942717407062,-0.018234123374561644,986,607,FALSE
DAL80,FKH2,2.266600463611284,NA,FALSE,0.056974209071171907,-0.010050077060243323,2382,623,FALSE
DAL80,CBF1,0.666671202863979,NA,TRUE,-0.015503382869998032,0.014061992641822174,607,608,FALSE
MET31,GAL4,0.37516229832520515,NA,TRUE,-0.033365628059426194,0.09250130233348283,4745,607,FALSE
CHA4,LYS14,0.31058065900693327,NA,FALSE,-0.033352344457741365,-0.07416772041575748,4307,607,FALSE
